candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Ben Carson,Negative,0.6957,Religion,72,"RT @almightygod: Ben Carson: ""God's a pretty fair guy."" I guess he's never read the Bible. #job #pharaoh #shebears  #GOPDebate"
Rand Paul,Negative,1,None of the above,122,RT @Writeintrump: Cheap tactic by Rand Paul getting the same haircut as my poodle to distract me.  #GOPDebate
John Kasich,Negative,0.684,None of the above,0,John Kasich seems like a decent guy. Pity he's a republican. #GOPDebate
Ted Cruz,Positive,0.6889,None of the above,19,RT @RMConservative: Cruz's line about #CampaignConservative cuts 2 the core of the issue with GOP &amp; also the shortcomings of #GOPDebate htt…
No candidate mentioned,Negative,1,FOX News or Moderators,15,RT @pulmyears: Official photo from the big #FoxNews #GOPDebate last night: http://t.co/9YQGzvC2qV
No candidate mentioned,Negative,1,Racial issues,0,Last night's #GOPDebate proved everything we already knew about the white patriarchal elitist homophobic party the GOP is.
Donald Trump,Negative,1,None of the above,0,"""[Trump] has no integrity, no character, and no principles, and he's proud of it."" - @MattWalshBlog

Agreed 

#GOPDebate #Trump"
No candidate mentioned,Negative,1,Religion,38,RT @linnyitssn: Also funny how Constitution loving Republicans structurally violate the Constitution by bringing religion into politics. #G…
No candidate mentioned,Negative,0.6279,,0,BLOWTORCH IRS!! I LIKE the sound of that!! #CriminalAbusesNOWPoised2POLICEOurHealthCare  GO Rick!!! #GOPDebate  https://t.co/ZFlcfHEe3J
Donald Trump,Negative,0.6754,None of the above,0,"#gopdebate the fix was in from the get-go.First off, Question about pledging support should have been addressed directly 2 @realDonaldTrump"
Ben Carson,Positive,1,None of the above,0,@RealBenCarson Excellent job last night at the #GOPDebate. Class act all around. Proud to have you as a Republican candidate. #BenCarson
Donald Trump,Negative,0.6742,FOX News or Moderators,10,"RT @KoryStamper: Lookups! ""Misogynist"" spiking @MerriamWebster (http://t.co/k7RBb12RLC). Trump, women, and the #GOPDebate: http://t.co/yXsj…"
No candidate mentioned,Negative,1,Religion,0,God is not speaking to you looney tunes. How about some real questions? #GOPDebate  https://t.co/FBO00Cn461
Marco Rubio,Positive,0.6582,Jobs and Economy,93,"RT @marcorubio: .@Skye820 If we're going to make this an American Century, we've got to empower small businesses. Thanks for your question …"
Chris Christie,Negative,1,Religion,578,"RT @pattonoswalt: ""My God is named 'Bruce Springsteen'. Go listen to 'Jungleland' and get a fucking clue,"" -- Christie. #GOPDebate"
No candidate mentioned,Negative,0.3548,None of the above,66,RT @ThePatriot143: My winner overall of today's #GOPDebate 's is @CarlyFiorina She really stood out among ALL GOP Candidates
No candidate mentioned,Negative,0.6532,Gun Control,0,Republicans Hate Gun-Free Zones But Held #GOPDebate In Gun-Free Zone  https://t.co/0rlAyowQW1
No candidate mentioned,Negative,1,None of the above,0,RT @lizadonnelly: Political nonsense last night. #GOPdebate (See all on my http://t.co/MOcgZtHBdZ site.)… https://t.co/xyaHGrr5vH
Donald Trump,Negative,1,None of the above,2,RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””
Donald Trump,Negative,0.7056,None of the above,0,"You must admit, @realDonaldTrump throws #shade like #RHOA LOL! 😂😂😂 #GOPDebate  https://t.co/c9LUq1dwW3"
No candidate mentioned,Positive,0.7033,None of the above,0,"So looking forward to listening to @DRShow's news roundup this morning! 
""You couldn't look away"" #GOPDebate 
http://t.co/o8rTITVGdt"
Donald Trump,Negative,1,None of the above,1,"RT @pillary56: There's a difference between not being politically correct and being a massive jerk, Mr. Trump #GOPDebate"
John Kasich,Negative,1,None of the above,0,My thoughts: Perry and Fiorina must replace Paul and Kasich in the top ten. Jindal needs to step it up and replace Christie. #GOPDebate
Marco Rubio,Positive,0.6753,None of the above,842,"RT @marcorubio: If I'm our nominee, we'll be the party of the future. #GOPDebate"
Ted Cruz,Positive,0.643,Immigration,0,"@SenTedCruz had best answer of night in response to immigration. Its not stupidity, it is how both sides want it.  #GOPDebate"
Marco Rubio,Positive,1,None of the above,0,Interesting #GOPDebate analysis. @marcorubio clearly excelled as conservative leader we need. Go @TeamMarco! #tcot https://t.co/pve8wuodke
Donald Trump,Negative,1,None of the above,0,@krauthammer Sorry the downfall of Trump in last nights debate is greatly exaggerated #GOPDebate
Scott Walker,Negative,0.6818,Foreign Policy,0,"Moderator: ""@ScottWalker,when you 'rip up the Iran deal on day 1',what then?"" Walker: ""I remember tying yellow ribbons on trees."" #GOPDebate"
No candidate mentioned,Negative,0.6771,Religion,2,"RT @CCalbos: ""Tell us how god speaks to you.."" What is happening? Is this real life?  #GOPDebate"
No candidate mentioned,Negative,1,None of the above,73,"RT @GusRamsey: SNL doesn't have a big enough cast to spoof this. 
#GOPDebate"
Mike Huckabee,Negative,0.6951,None of the above,2,"RT @CCalbos: Huckabee: ""the military is to kill people and break things."" On behalf of military families...F you. #GOPDebate"
Donald Trump,Negative,0.6653,Jobs and Economy,0,"@realDonaldTrump's arrogance at the #GOPDebate: ""I’ve used the laws of the country to my advantage."" #NotThatGuy http://t.co/Rjtjr9iOAC"
No candidate mentioned,Negative,1,Abortion,0,It's real scary that liberals are allowed 2 walk around after committing horrific crimes against humanity. #GOPDebate  #PlannedButcherhood
Donald Trump,Negative,0.642,None of the above,0,"I'd like to thank the other 9 candidates at the #GOPDebate who took Trump to task for once again trying to #FatShame @Rosie. But, I can't..."
No candidate mentioned,Positive,0.7111,FOX News or Moderators,0,Gotta love @megynkelly #GOPDebate
No candidate mentioned,Negative,0.6915,None of the above,0,@brendohare great battle last night by premier teenage athletes. #GOPDebate http://t.co/pLGp4Aai2y
No candidate mentioned,Negative,0.67,FOX News or Moderators,0,.@FoxNews should replace @megynkelly with @marthamaccallum in future debates. MacCallum did a MUCH better job in early debate. #GOPDebate
Donald Trump,Negative,1,None of the above,0,"Donald Trump, Democratic Spy? http://t.co/8N9MvTKN4u @realDonaldTrump @SenSanders #trump #DonaldTrump #Hillary2016 #GOPDebate"
No candidate mentioned,Positive,0.3391,,1,RT @jjosephwilliams: 16% of United States homes with TV sets tuned in to #GOPDebate. Wow. http://t.co/TRs8vMWJYg
No candidate mentioned,Negative,1,None of the above,0,#GOPDebate or Old White Rich Conservative Dudes on Parade. That's a childhood nightmare of mine.
Donald Trump,Positive,0.6542,None of the above,0,.@ljcambria @realDonaldTrump Don't forget to vote for him! Especislly when he has to go Independent! #LULZ  #HUCKSTER #RNC #GOP #GOPDebate
No candidate mentioned,Negative,0.7065,Women's Issues (not abortion though),0,Recap of the #GOPdebate: these #TenMen want to make choices for all women. #GOPtbt http://t.co/v1desifyee
Donald Trump,Negative,0.6629,None of the above,489,"RT @Writeintrump: I not only made Hillary Clinton go to my wedding, but I also made her be my Best Man.  #GOPDebate"
Rand Paul,Negative,1,None of the above,2,"Rand Paul could drop out of top 10 w dreadful, petulent debate. Fiorina moves up #gopdebate #tcot"
No candidate mentioned,Negative,0.3685,None of the above,621,"RT @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate"
No candidate mentioned,Negative,0.3444,None of the above,8,RT @GogoAleee: IG Deleted DD Account after we participated in the #KKKorGOP hashtag during the #GOPDebate http://t.co/jNYRNOPngx via @Dream…
No candidate mentioned,Negative,1,None of the above,5,RT @CrazyClarine: lol! RT @The3o5FlyGuy: Watching the #GOPDebate like... http://t.co/zOwJcU2baZ
No candidate mentioned,Negative,0.7039,None of the above,107,RT @sjadetx: My thoughts on the #GOPDebate http://t.co/BT7glNYUoN
Donald Trump,Negative,1,FOX News or Moderators,1,RT @FreedomTexasMom: My LOVE for @megynkelly died tonight at the #GOPDebate #FoxNews #TrumpCruz2016 #MakeAmericaGreatAgain
Mike Huckabee,Positive,1,None of the above,0,"Executive Experience Matters

#gopdebate #ccot #gop #teaparty #imwithhuck #tcot #th2016 #RenewUS #wakeupamerica https://t.co/uCA5oguT29"
Donald Trump,Negative,1,None of the above,0,Does Trump not realize he's a complete joke or?? I feel as though he would have caught onto that by now #GOPDebate
Donald Trump,Positive,0.3409,None of the above,0,"@realDonaldTrump to primary voters: ""Your chances look good for the general election. It'd be a shame if something happened..."" #GOPDebate"
No candidate mentioned,Negative,1,Religion,0,"""ISIS! Islamic extremism!""
Did I doze off when they spoke of the right wing Christian extremism that is plaguing our country?
#GOPDebate"
Marco Rubio,Positive,1,Immigration,18,RT @RickCanton: #TeamMarco - understands immigration better than anyone on stage. #GOPDebate http://t.co/ivvfCxpnN7
Jeb Bush,Positive,0.3488,None of the above,0,"In honor of last night's #GOPDebate, I'd like to add an exclamation point to the end of my name, and maybe get it put on Jeb! vanity plate."
Jeb Bush,Negative,0.6393,None of the above,0,"""How do you earn a Jeb? And how is Jeb going to earn this nomination?"" @tnyCloseRead http://t.co/BKOWYl34ft #GOPDebate"
Donald Trump,Negative,0.6792,None of the above,1,"Va. GOP leaders praise debate performances. Trump's, not so much. http://t.co/Ul5pgAq4UH #Election2016 #GOPDebate"
Ben Carson,Positive,0.6629,Racial issues,44,"RT @DraftRunBenRun: ""We are the United States of America, not the Divided States of America."" -@RealBenCarson #GOPDebate http://t.co/riTsRZ…"
Ben Carson,Negative,0.3276,None of the above,0,Ben Carson identifying the left's use of Alinsky tactics? Masterful. #GOPDebate
Mike Huckabee,Negative,1,None of the above,48,RT @lizzwinstead: Mike Huckabee. You are broken. #GOPDebate
Donald Trump,Negative,1,None of the above,4,"RT @coleasschneider: FYI, the real terror is Donald Trump's hair. #GOPDebate"
No candidate mentioned,Negative,1,None of the above,2,RT @TKrypt_: MOTIVE: These guys REALLY REALLY want to get elected so they can get their hands on this kind of money #GOPDebate http://t.co/…
Donald Trump,Negative,0.6818,None of the above,2,RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”
No candidate mentioned,Negative,0.6778,None of the above,0,I would love 2 see a debate where there are fact checkers &amp; if u make like 5 false statements u are disqualified from the debate #GOPDebate
No candidate mentioned,Negative,0.6629,None of the above,0,So I've watched #GOPDebate (pl don't judge me) for some education &amp; stuff (prez debates are class tbh - Romney in prev yr). Disappointing.
No candidate mentioned,Negative,0.6774,None of the above,2,"RT @bmangh: #GOPDebate was like #JackNicholson driving his fellow patients around in ""One Flew Over the Cuckoos Nest."" http://t.co/lRpXQgx4…"
No candidate mentioned,Negative,1,None of the above,7,"RT @lizadonnelly: Visually, the #GOPDebate could have used more dancing, IMHO. My cartoon roundup in tweet drawing!! https://t.co/SJiZ8A2ZUf"
No candidate mentioned,Negative,0.6277,Foreign Policy,398,RT @JohnFugelsang: Lindsey Graham has never met a war he's afraid to send your kids to.  #gopdebate
Donald Trump,Negative,1,None of the above,0,When @realDonaldTrump hears what iSaid about him during TV interview on #gopdebate he'll call me a dog...Ruff ruff😏 http://t.co/pyJ4HUhgjE
No candidate mentioned,Negative,0.6593,None of the above,19,"RT @TXDemParty: If you agree that none of these guys should ever be president, add your name ➡️ http://t.co/o7oSxwKQ98 #GOPDebate http://t.…"
Scott Walker,Positive,1,None of the above,26,Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfFBJmvx8
No candidate mentioned,Positive,1,None of the above,0,People really need to do their research on Carly Fiorina. She was extremely impressive in the #GOPDebate yesterday. @CarlyFiorina
No candidate mentioned,Negative,0.6548,FOX News or Moderators,11,RT @Nottinghams1: #GOPDebate #MegynKelly is a media whore
No candidate mentioned,Negative,0.6458,FOX News or Moderators,1,"RT @el_deego: Hey @FoxNews, why wasn't #DeflateGate a bigger talking point last night? Makes me think the whole debate was a sham. #GOPDeba…"
No candidate mentioned,Negative,1,None of the above,0,Not much fact checking of the #GOPDebate because we have just accepted that Republicans will lie about everything. #PostTruthSociety
No candidate mentioned,Negative,0.6598,None of the above,4,RT @cerenomri: I thought we fought the Revolution against the quartering of troops in wartime #GOPDebate
No candidate mentioned,Negative,1,None of the above,8,"RT @TajMagruder: Hillary got 19 mentions at the #GOPDebate and the middle class got 2. Really, what would they talk about if not her?"
No candidate mentioned,Negative,1,Abortion,51,RT @808s_n_cupcakes: Bruh RT @blowticious: Pro-life Republicans be like #GOPDebate http://t.co/dgu7yJ9IeX
Jeb Bush,Negative,1,None of the above,13,"RT @Shaughn_A: I can think of at least 1 person @CarlyFiorina shld've replaces. Was @JebBush even on the #GOPDebate stage? 😕

#tcot http://…"
No candidate mentioned,Negative,0.6733,None of the above,1,RT @jonesmarkh: Friendly reminder that a focus group is not a poll #GOPDebate  https://t.co/MheK8YWGLH
No candidate mentioned,Negative,0.6848,None of the above,0,And then there was the moment things got really weird... #GOPDebate http://t.co/fCo3kzPVQE
Donald Trump,Negative,0.6067,,0,.@realDonaldTrump Shares Post Calling Megyn Kelly a 'Bimbo' Following Republican Debate | MRCTV http://t.co/ZaII5AQsii … #GOPDebate
No candidate mentioned,Negative,0.6444,None of the above,0,"rather than #FactCheck the #GOPDebate ,  much easier just to tell us if they got anything right? @UniteBlueCA  https://t.co/ze7eYwPBMP"
Ben Carson,Negative,1,None of the above,0,I feel like they are just throwing Carson scraps. Ask him real questions find out what his policies are #GOPDebate
Marco Rubio,Negative,0.6786,None of the above,0,"@NRO = jed + rubio 
(no thanks) 

@AlexConant @marcorubio #gopdebate"
No candidate mentioned,Negative,0.6566,,244,"RT @IamGMJohnson: ""I listen to the American People"" (As long as they are not immigrants, blacks, latinos, lgbtq and women) #GOPDebate #kkko…"
Donald Trump,Positive,0.7154,None of the above,60,RT @DanScavino: #FoxNews #SanDiego - @realDonaldTrump clearly won the #GOPDebate. cc; @megynkelly @BretBaier http://t.co/Wvr3QHAmrH
No candidate mentioned,Negative,0.6196,None of the above,1,"RT @maureenjohnson: I guess the lesson is: if you watch the #GOPDebate, be prepared to pay the price."
No candidate mentioned,Negative,0.6363,None of the above,0,"At the second break, @Newsweek's #GOPDebate bingo has just six empty spaces left http://t.co/8KiDHDJrVi"
Donald Trump,Negative,0.6552,None of the above,0,Overall I'm disappointed by the #GOPDebate Trump was entertaining Carson killed it but spoke the least. Im not impressed with most answers.
No candidate mentioned,Negative,1,None of the above,2,RT @62Valdovinos: @POTUS just watched the #GOPDebate  He got a good laugh. #UniteBlue #LibCrib #TYT #tcot #topprog #p2 #TNTweeters http://t…
No candidate mentioned,Negative,0.6594,Women's Issues (not abortion though),261,RT @lizzwinstead: WE SHOULD BE ABLE TO CALL WOMEN PIGS AND WHORES MORE. WE HAVE TO TAKE AMERICA BACK! #GOPDebate
Ted Cruz,Positive,1,None of the above,19,"RT @Gabby_Hoffman: Best @tedcruz line re #GOPDebate: ""I will fight to defend liberty because my family knows what it's like to lose it"" htt…"
Scott Walker,Positive,0.6782,None of the above,2,RT @DeborahPeasley: Multiple shots of Scott Walker nodding behind Ben Carson was one of the best parts of #GOPDebate. The real strength of …
No candidate mentioned,Positive,1,FOX News or Moderators,0,"@megynkelly, I thought you did a fabulous job at the #GOPDebate debate.  (and I'm a Democrat)."
No candidate mentioned,Negative,1,None of the above,167,"RT @BillyCorben: Fortunately the 'Straight Outta Compton' commercial spent more time on ""the civil rights issue of our time"" than the #GOPD…"
Ted Cruz,Positive,1,None of the above,5,"RT @Tombx7M: Cruz had a great night.
#hannity #GOPDebate"
Donald Trump,Negative,0.6739,Jobs and Economy,0,"Trump has 5 companies that went bankrupt, and he wants to fix the U.S. Debt? 
#GOPDebate"
No candidate mentioned,Negative,1,FOX News or Moderators,0,"""#Fox News doesn't work for the #Republican party. The Republican party works for Fox News."" --David Frum #GOPDebate"
No candidate mentioned,Negative,0.6782,Foreign Policy,13,RT @OGOPer: This NYer will work hard to replace @SenSchumer Chuck Schumer to vote against Iran nuclear deal http://t.co/264dWH6bBi #IranDea…
No candidate mentioned,Negative,0.6588,None of the above,26,RT @gillistrill: My mom &amp; I submitted this question for the #GOPDebate and sadly we got no answer :( https://t.co/s7IyySmDFV
No candidate mentioned,Negative,1,None of the above,6,Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us. http://t.co/GwYirupOyo
No candidate mentioned,Negative,1,None of the above,1,RT @laprofe63: #WishfulThinking! #GOPDebate showed quite plainly how NOT prepared any of those men (+1 woman) are 2 lead nation. https://t.…
No candidate mentioned,Negative,1,None of the above,95,RT @sarahkendzior: Can't believe people are writing real articles about who won #GOPDebate. We *all* lost #GOPDebate.
No candidate mentioned,Negative,1,FOX News or Moderators,3,"RT @JohnGGalt: Fox News keeps hammering, according to plan, how great Carly Fiorina was last night—but I don't remember a word she said. #G…"
Ted Cruz,Positive,0.3531,None of the above,0,"Wouldn't this be refreshing?
@tedcruz @RealBenCarson #GOPDebate  #ThinkBeforeYouVote #Stand #WillNeverLie  https://t.co/Vgz4knFXK7"
Donald Trump,Positive,0.7173,None of the above,79,"RT @DanScavino: .@megynkelly,
Some results on how candidates did at #GOPDebate. #MakeAmericaGreatAgain #Trump2016 #KellyFailed http://t.co/…"
Mike Huckabee,Negative,1,None of the above,304,"RT @KatiePavlich: ""The military is not a social experiment. Their job is to kill people and break things"" -Huckabee #GOPdebate"
No candidate mentioned,Negative,0.3133,None of the above,0,"Relevant Song of the Day - THE BOXER,Simon Garfunkle i.e. 'candidates  debate' http://t.co/0UxvHaE4UX #gopdebate #politics 📷 @WTCPolitics1"
No candidate mentioned,Negative,0.6774,Religion,8,RT @ExtremeLiberal: Is God going to be like the Co-president or something? #GOPDebate
Donald Trump,Positive,0.6484,None of the above,0,"Winners, losers, &amp; @realDonaldTrump. Here's my round-up of #GOPdebate-&gt;http://t.co/RNUNbPaWgp http://t.co/sfQIwda61G"
Marco Rubio,Positive,1,None of the above,0,"#GOPDebate
Megyn Kelly:A+
Rubio:A
Fiorina:A
Christie:A-
Bush:B+
Perry:B+
Kasich:B
Walker:B
Cruz:C
Carson:C
Jindal:C
Paul:D-
Trump:F
Rest:😴"
Ted Cruz,Positive,1,None of the above,0,@JonahNRO @jimgeraghty When U look at #GOPDebate ask given 1/2 the time in 1on1 debate who would B most impressive? @tedcruz by far
No candidate mentioned,Negative,1,None of the above,1,"I guess the lesson is: if you watch the #GOPDebate, be prepared to pay the price."
No candidate mentioned,Negative,1,Abortion,7,RT @emmaladyrose: Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/xXcH8PXagF
Scott Walker,Negative,0.6622,None of the above,30,RT @ZwigZag: Can we ask Scott Walker why he's disenfranchising hundreds of thousands of people with voter ID laws? #GOPDebate #debatewithbe…
No candidate mentioned,Negative,0.678,None of the above,1,RT @TheAvgBlackMan: In GOP land the year is about 1955 #GOPDebate
Donald Trump,Negative,1,None of the above,1,RT @EthanEllis32: From 2001-2009 Donald Trump was a Democrat. We can only assume he was confused and thought Democrats still supported slav…
No candidate mentioned,Negative,1,None of the above,0,Biggest issue in last night's #GOPDebate?  Lack of #leadership. Check out my comments here: http://t.co/ypQZM8y218 http://t.co/PRny71sHYc
No candidate mentioned,Negative,0.6593,None of the above,0,#llama2016 running away from the other GOP candidates after the #GOPDebate http://t.co/TIntR7P9po
Donald Trump,Negative,0.3402,None of the above,2,"RT @FreedomJames7: Trump Is A RINO.
#GOPDebate http://t.co/eW7bPOqD5B"
No candidate mentioned,Negative,1,Racial issues,35,RT @GloriaMalone: Watching the #gopdebate you should check out #kkkorgop and http://t.co/9agQnL83s9. http://t.co/NDyqvlp8DY
No candidate mentioned,Negative,0.6957,Racial issues,406,RT @rachael_firefly: #blacklivesmatter received only 30 seconds at the #GOPDebate . That speaks volumes.
Scott Walker,Negative,1,Abortion,13,"RT @jennpozner: #GOPDebate Q ""Would you really let a mother die rather than have an abortion?"" Scott Walker, straight-faced: ""I'm pro-life.…"
Jeb Bush,Positive,0.6705,None of the above,199,RT @4BillLewis: #SocialMedia and the #FoxNews #GOPDebate are the future. #jebbush #MarcoRubio #scottwalker #realbencarson #JohnKasich #Chri…
No candidate mentioned,Negative,1,None of the above,2,"Bingo #GOPDebate #KochBrothers 
#Puppets Wined and Dined last weekendas planned #Shameful 
#MakeAmericaGreatAgain  https://t.co/1S2uLTnxoe"
No candidate mentioned,Negative,1,FOX News or Moderators,588,"RT @maureenjohnson: ""Let's imagine Obama ate a baby. It's not a question. Let's just imagine it."" #GOPDebate"
Donald Trump,Positive,0.6458,None of the above,2,"Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 #GOPDebate #trump"
Donald Trump,Negative,1,None of the above,2,"Trump Is A RINO.
#GOPDebate http://t.co/eW7bPOqD5B"
No candidate mentioned,Negative,0.6639,None of the above,0,@Mr_Landshark Saint Genesius of Rome: Patron Saint of Comedians #GOPDebate http://t.co/0uPbQMymTs
No candidate mentioned,Negative,1,None of the above,22,RT @tylercreighton: Weird. The GOP candidates didn't want to talk about the billionaires funding their campaigns. http://t.co/C4VDTHr3SD #G…
Marco Rubio,Negative,0.3596,None of the above,0,"rubio is off the radar  

#gopdebate @NRO @AlexConant @marcorubio"
No candidate mentioned,Negative,0.6697,Women's Issues (not abortion though),0,Regardless of who won the #GOPDebate it was clear that women's rights lost. #StandwithPP #prochoice  https://t.co/MCeMS58R9I
Marco Rubio,Negative,0.6629,Immigration,10,REMINDER: Marco Rubio Abandoned #ImmigrationReform So He Could Run For President http://t.co/rIQRabv3al #GOPDebate http://t.co/ICXWvlJKY8
Ted Cruz,Positive,0.6667,None of the above,126,"RT @ChuckNellis: 2 names should be trending after #GOPDebate, #CarlyFiorina &amp; #TedCruz, the winners of round 1."
No candidate mentioned,Negative,1,Women's Issues (not abortion though),0,The winner of last night's debate was @HillaryClinton. And the loser was all women if any of those men end up in the Oval Office. #GOPDebate
No candidate mentioned,Negative,0.6915,None of the above,10,RT @ShanePaulNeil: Why are they handing Hillary the Dem nod? #earnthisdamnvoteorlose  #GOPDebate
No candidate mentioned,Negative,1,FOX News or Moderators,1,"Hey @FoxNews, why wasn't #DeflateGate a bigger talking point last night? Makes me think the whole debate was a sham. #GOPDebate #HailSatan"
Donald Trump,Positive,1,None of the above,157,#GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co/Sy3wNqwHTb
No candidate mentioned,Negative,1,Abortion,0,Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/Gd6rVBHz4P via @HuffPostWomen
No candidate mentioned,Negative,0.6667,Abortion,1,RT @JeremyLHeath: I'm... is she saying she is regretting having the baby? That's kind of how this reads. #GOPDebate #tcot #prolife  https:/…
No candidate mentioned,Negative,0.6829,Religion,116,RT @lsarsour: It's Islam not Izlam. Muslims not Mozlems. When will we get it right? #GOPDebate
No candidate mentioned,Negative,0.6067,None of the above,1,"RT @AliceWHunt: If it don't free us, it enslaves us. Dr Brittney Cooper #GOPDebate @ProfessorCrunk @CTS_Chicago @OneNabi @DrValerieB"
No candidate mentioned,Negative,0.6724,FOX News or Moderators,0,@CarolCNN Stop stoking dishonesty.  @megynkelly head has gotten so big due to her quick rise at #FoxNews and she's a drama queen #GOPDebate
Donald Trump,Negative,0.6421,Jobs and Economy,10,"RT @zzcrane: I beg you Donald trump supporters to reconsider. He is easily influenced politically &amp; monetarily.  
#GOPDebate #tlot #tcot #W…"
No candidate mentioned,Negative,0.6589,FOX News or Moderators,0,Fox's Todd Starnes Bashes #MegynKelly: 'Are You Freaking Kidding Me?' http://t.co/Qw7Xw0awxO (VIDEO)  #GOPDebate http://t.co/XD19F7JMSI
No candidate mentioned,Negative,0.3314,None of the above,433,RT @ironghazi: Finally someone talking about the real issues #GOPdebate http://t.co/ttcdKtnMUt
No candidate mentioned,Negative,0.6702,None of the above,146,RT @keithboykin: I wish Republicans would stop saying the military is too small. We spend more on defense than every other nation on the pl…
No candidate mentioned,Negative,1,None of the above,167,"RT @ColMorrisDavis: #GOPDebate recap: Men who said ""hell no, I won't go"" when they had military service chance saber-rattle w/the blood of …"
Scott Walker,Negative,0.6092,Abortion,12,"RT @MichelleHux: #GOPDebate mod: would you really let a mother die rather than get an abortion?

Scott Walker: yes &amp; i defunded planned par…"
No candidate mentioned,Negative,1,FOX News or Moderators,0,"Megyn Kelly's snarky hot chick routine works on her show, but had no place at the #GOPDebate. She came off amateurish."
No candidate mentioned,Negative,0.6958,None of the above,26,RT @JeetendrSehdev: Political debates teach marketers how not to message to audiences today. Be direct don't deflect! #GOPDebate @OrlandoDi…
Donald Trump,Negative,1,None of the above,2,"RT @jennpozner: #insomniactivist 3:52am. Fine, I give up. Turning on DVR, watching #GOPDebate. Trump's @Rosie crack: does he think he's sti…"
No candidate mentioned,Negative,0.6552,Jobs and Economy,22,"RT @NETRetired: #GOPDebate #DebateQuestionsWeWantToHear 
@SpeakerBoehner has no economic bills &amp; continues 2 waste taxpayer $$, why? http:/…"
No candidate mentioned,Negative,1,FOX News or Moderators,1,"RT @VictoriaNoir89: All of the jokes aside, the #GOPDebate moderators gave weak questions and candidates gave weak answers. Good luck again…"
No candidate mentioned,Negative,0.628,None of the above,82,RT @emmyrossum: This is how my kid feels about the #GOPDebate. http://t.co/m8e1gWOtf2
No candidate mentioned,Negative,0.6725,None of the above,2,RT @EthanEllis32: Pretty sure Republicans consider Straight Outta Compton to be a horror movie #GOPDebate #DebateWithBernie
No candidate mentioned,Negative,1,None of the above,154,RT @AstroKatie: Why be politically correct when you can be politically factually wrong about everything known to science? #GOPDebate
Donald Trump,Negative,1,None of the above,1,"RT @G_Humbertson: Trump claimed last night that he's given most of his opponents money. Actually, just one. #GOPDebate http://t.co/xztTCvMP…"
Donald Trump,Negative,0.3474,FOX News or Moderators,193,RT @ThePatriot143: ✔️ @FoxNews was totally fair to @realDonaldTrump especially in the 1st 2mins of the #GOPDebate http://t.co/6W3EpMpOeJ
Scott Walker,Negative,1,None of the above,39,"RT @feministabulous: Scott Walker talking about what he'll do as President being ""just like what I did in Wisconsin"" is so scary. #GOPDebate"
Mike Huckabee,Negative,1,Foreign Policy,0,@Jerusalem_Post Hope you watched how US Republicans condemned Obama on #IranDeal at the #GOPDebate. #MikeHuckabee's was the most blistering.
Mike Huckabee,Positive,0.6742,None of the above,287,"RT @GovMikeHuckabee: I'll fight for the U.S. military to be the most feared, respected, &amp; ⁰capable fighting force the world has ever known …"
Ben Carson,Positive,1,None of the above,1042,"RT @FrankLuntz: The biggest (pleasant) surprise in tonight’s #GOPDebate was Ben Carson.

#KellyFile"
Donald Trump,Negative,1,None of the above,0,Thoughts on #GOPdebate: Trump had so much more time than everyone because he can't answer ?s succinctly. Or at all #NotTrump #anyonebut
Donald Trump,Negative,1,Women's Issues (not abortion though),35,"RT @kharyp: #DonaldTrump Finally Called Out For Insulting Women As ‘Fat Pigs, Dogs, Slobs, And Disgusting Animals’ http://t.co/fE6kZ2mmmB #…"
Donald Trump,Negative,0.6413,Immigration,2,"RT @TrumpIssues: An illegal alien can be deported 5 X, make it back into the country, kill an American woman, but Trump can't call someone …"
No candidate mentioned,Negative,1,None of the above,431,RT @pistolsnpoetry: I am howling. #GOPDebate http://t.co/BNv5ohXZLK
Scott Walker,Negative,1,Abortion,41,"RT @feministabulous: Scott Walker is so pro-life he didn't make an exception for rape, incest of life of the the mother for his 20-week abo…"
Mike Huckabee,Negative,0.6774,None of the above,201,"RT @fakedansavage: Huckabee: Illegals, pimps, prostitutes aren't paying their fair share! #GOPDebate"
No candidate mentioned,Negative,1,FOX News or Moderators,224,RT @jjauthor: Uhhh..@brithume most of us didn't like @megynkelly questioning of everyone..very ungentlewomenly! #GOPDebate
Donald Trump,Negative,0.6842,FOX News or Moderators,1,My LOVE for @megynkelly died tonight at the #GOPDebate #FoxNews #TrumpCruz2016 #MakeAmericaGreatAgain
